time,province,mask,disinfectant,hand_sanitizer,thermometer,vitamin,cases_pdf
2020/1/21,Guizhou,141,1,6,0,5,0
2020/1/21,Qinghai,10,0,0,0,0,0
2020/1/21,Hebei,510,18,6,15,29,0
2020/1/21,Gansu,36,0,5,0,3,0
2020/1/21,Yunnan,137,4,3,6,4,0
2020/1/21,Ningxia,7,0,0,0,0,0
2020/1/21,Heilongjiang,118,4,2,0,0,0
2020/1/21,Shanxi,298,19,14,6,3,0
2020/1/21,Jiangsu,1333,6,46,11,42,0
2020/1/22,Inner Mongolia,70,2,3,0,0,0
2020/1/22,Hainan,562,1,18,0,2,4
2020/1/22,Guangxi,2424,5,14,6,16,2
2020/1/22,Shaanxi,907,21,32,7,31,0
2020/1/22,Fujian,1344,17,22,3,8,1
2020/1/22,Beijing,1190,54,29,5,8,14
2020/1/22,Sichuan,4021,20,28,6,9,5
2020/1/22,Tianjin,434,4,3,6,8,4
2020/1/22,Hunan,4891,14,48,8,15,4
2020/1/22,Henan,2403,25,34,27,44,5
2020/1/22,Jilin,300,5,13,0,2,0
2020/1/22,Jiangxi,2457,14,7,1,12,2
2020/1/22,Shandong,2531,63,78,27,64,2
2020/1/22,Zhejiang,4704,9,41,20,51,10
2020/1/22,Liaoning,409,4,19,0,16,2
2020/1/22,Xinjiang,55,0,0,0,0,0
2020/1/22,Tibet,9,0,0,0,0,0
2020/1/22,Guangdong,12142,91,154,18,108,26
2020/1/22,Anhui,3433,22,57,7,46,1
2020/1/22,Shanghai,1927,13,66,2,26,9
2020/1/22,Guizhou,770,0,7,1,4,1
2020/1/22,Qinghai,15,0,2,0,0,0
2020/1/22,Hebei,1221,59,45,0,45,1
2020/1/22,Gansu,119,1,1,0,4,0
2020/1/22,Yunnan,421,1,11,1,8,1
2020/1/22,Ningxia,28,0,0,0,0,1
2020/1/22,Heilongjiang,315,0,15,0,10,0
2020/1/22,Shanxi,991,13,15,1,7,1
2020/1/22,Jiangsu,3830,21,81,26,36,1
2020/1/23,Inner Mongolia,74,2,1,0,5,0
2020/1/23,Hainan,1091,3,7,1,3,5
2020/1/23,Guangxi,3955,13,30,3,21,5
2020/1/23,Shaanxi,2627,68,65,4,4,3
2020/1/23,Fujian,3547,6,25,5,3,5
2020/1/23,Beijing,1444,47,24,4,14,22
2020/1/23,Sichuan,8146,30,56,35,4,8
2020/1/23,Tianjin,462,10,26,3,10,4
2020/1/23,Hunan,9329,29,47,43,38,9
2020/1/23,Henan,4004,69,101,18,20,5
2020/1/23,Jilin,280,5,6,1,4,1
2020/1/23,Jiangxi,4803,23,75,9,16,7
2020/1/23,Shandong,4444,117,103,20,56,6
2020/1/23,Zhejiang,7404,81,96,50,55,27
2020/1/23,Liaoning,493,17,21,2,0,3
2020/1/23,Xinjiang,112,3,0,0,0,2
2020/1/23,Tibet,19,0,0,0,0,0
2020/1/23,Guangdong,16853,258,301,52,50,32
2020/1/23,Anhui,5539,75,64,25,28,9
2020/1/23,Shanghai,2453,33,47,21,13,16
2020/1/23,Guizhou,1537,1,11,11,18,3
2020/1/23,Qinghai,54,6,3,0,0,0
2020/1/23,Hebei,1815,65,56,14,20,1
2020/1/23,Gansu,347,3,5,3,0,2
2020/1/23,Yunnan,801,2,10,3,3,2
2020/1/23,Ningxia,48,0,0,0,0,1
2020/1/23,Heilongjiang,467,10,6,0,9,2
2020/1/23,Shanxi,1735,13,41,4,25,1
2020/1/23,Jiangsu,6609,109,69,23,64,5
2020/1/24,Inner Mongolia,54,1,0,0,0,1
2020/1/24,Hainan,462,1,12,2,10,8
2020/1/24,Guangxi,2672,10,13,30,6,23
2020/1/24,Shaanxi,1986,35,28,22,9,5
2020/1/24,Fujian,2079,11,20,17,4,10
2020/1/24,Beijing,642,33,13,10,6,36
2020/1/24,Sichuan,5428,25,48,24,11,15
2020/1/24,Tianjin,237,15,3,1,1,8
2020/1/24,Hunan,6335,33,23,10,14,24
2020/1/24,Henan,2343,72,66,22,14,9
2020/1/24,Jilin,96,9,0,0,1,3
2020/1/24,Jiangxi,3539,15,17,4,18,18
2020/1/24,Shandong,2364,76,61,15,25,15
2020/1/24,Zhejiang,3581,54,34,29,19,43
2020/1/24,Liaoning,169,3,16,1,0,4
2020/1/24,Xinjiang,109,1,0,1,0,2
2020/1/24,Tibet,4,0,1,0,0,0
2020/1/24,Guangdong,7604,120,97,35,32,53
2020/1/24,Anhui,2838,48,70,16,29,15
2020/1/24,Shanghai,1219,24,9,13,20,20
2020/1/24,Guizhou,932,3,7,4,0,3
2020/1/24,Qinghai,18,0,0,0,0,0
2020/1/24,Hebei,822,40,23,10,1,2
2020/1/24,Gansu,195,0,0,0,0,2
2020/1/24,Yunnan,528,0,10,1,1,5
2020/1/24,Ningxia,32,0,0,1,1,2
2020/1/24,Heilongjiang,194,7,2,3,0,4
2020/1/24,Shanxi,1015,21,16,7,10,1
2020/1/24,Jiangsu,3869,63,61,27,28,9
2020/1/25,Inner Mongolia,101,10,1,0,12,7
2020/1/25,Hainan,836,18,55,13,5,19
2020/1/25,Guangxi,4120,138,59,26,13,23
2020/1/25,Shaanxi,2997,315,104,52,6,15
2020/1/25,Fujian,2190,83,74,14,3,18
2020/1/25,Beijing,858,107,43,13,15,41
2020/1/25,Sichuan,8657,240,138,43,17,28
2020/1/25,Tianjin,464,82,42,15,14,10
2020/1/25,Hunan,6251,104,58,38,17,43
2020/1/25,Henan,2999,257,113,42,35,32
2020/1/25,Jilin,364,36,17,7,5,4
2020/1/25,Jiangxi,4563,127,39,28,10,18
2020/1/25,Shandong,4449,586,173,44,82,27
2020/1/25,Zhejiang,3667,216,109,49,28,62
2020/1/25,Liaoning,594,56,47,1,18,17
2020/1/25,Xinjiang,90,16,3,8,0,3
2020/1/25,Tibet,12,0,0,0,0,0
2020/1/25,Guangdong,10407,579,366,124,54,78
2020/1/25,Anhui,4953,241,192,61,20,39
2020/1/25,Shanghai,1270,86,39,21,9,33
2020/1/25,Guizhou,1178,16,19,25,0,4
2020/1/25,Qinghai,75,5,1,0,0,1
2020/1/25,Hebei,1499,248,85,25,18,8
2020/1/25,Gansu,340,17,5,1,2,4
2020/1/25,Yunnan,942,16,20,9,2,11
2020/1/25,Ningxia,54,1,1,0,8,3
2020/1/25,Heilongjiang,583,62,21,7,7,9
2020/1/25,Shanxi,1871,201,63,19,0,6
2020/1/25,Jiangsu,4140,283,205,50,48,18
2020/1/26,Inner Mongolia,38,34,4,1,5,7
2020/1/26,Hainan,222,34,29,15,8,22
2020/1/26,Guangxi,1392,264,217,39,20,36
2020/1/26,Shaanxi,1250,924,297,69,20,22
2020/1/26,Fujian,811,213,160,47,27,35
2020/1/26,Beijing,306,380,108,17,24,68
2020/1/26,Sichuan,2515,383,303,81,21,44
2020/1/26,Tianjin,159,204,61,25,31,14
2020/1/26,Hunan,2249,302,197,95,26,69
2020/1/26,Henan,1029,642,346,98,48,83
2020/1/26,Jilin,184,140,66,11,11,4
2020/1/26,Jiangxi,1253,243,157,35,20,36
2020/1/26,Shandong,1933,1489,505,109,113,46
2020/1/26,Zhejiang,1217,604,297,133,74,104
2020/1/26,Liaoning,212,127,63,12,5,21
2020/1/26,Xinjiang,57,11,2,10,2,4
2020/1/26,Tibet,1,0,0,0,0,0
2020/1/26,Guangdong,4528,1493,845,177,62,111
2020/1/26,Anhui,1276,608,278,50,52,60
2020/1/26,Shanghai,390,263,128,37,44,40
2020/1/26,Guizhou,596,46,30,32,7,5
2020/1/26,Qinghai,29,14,5,1,0,1
2020/1/26,Hebei,731,566,161,78,35,13
2020/1/26,Gansu,174,40,30,29,5,7
2020/1/26,Yunnan,550,69,54,8,3,16
2020/1/26,Ningxia,24,2,1,4,0,4
2020/1/26,Heilongjiang,216,196,88,17,24,15
2020/1/26,Shanxi,689,246,152,36,7,9
2020/1/26,Jiangsu,1788,1057,427,92,98,33
2020/1/27,Inner Mongolia,13,24,6,3,4,11
2020/1/27,Hainan,87,47,20,3,10,33
2020/1/27,Guangxi,692,148,151,82,23,46
2020/1/27,Shaanxi,440,574,212,75,54,35
2020/1/27,Fujian,336,119,71,40,39,59
2020/1/27,Beijing,115,319,149,31,37,80
2020/1/27,Sichuan,1150,358,127,65,22,69
2020/1/27,Tianjin,57,234,65,16,4,23
2020/1/27,Hunan,884,192,87,73,35,100
2020/1/27,Henan,393,303,162,69,54,128
2020/1/27,Jilin,80,109,27,13,34,6
2020/1/27,Jiangxi,375,122,97,41,14,72
2020/1/27,Shandong,632,903,309,101,149,75
2020/1/27,Zhejiang,447,261,190,104,83,128
2020/1/27,Liaoning,94,142,58,16,12,27
2020/1/27,Xinjiang,16,9,3,15,0,5
2020/1/27,Tibet,2,0,0,0,0,0
2020/1/27,Guangdong,2178,900,703,267,116,151
2020/1/27,Anhui,535,330,233,41,57,70
2020/1/27,Shanghai,195,180,52,14,19,53
2020/1/27,Guizhou,367,45,41,36,1,7
2020/1/27,Qinghai,16,12,14,2,0,6
2020/1/27,Hebei,284,384,112,81,34,18
2020/1/27,Gansu,70,44,16,17,15,14
2020/1/27,Yunnan,253,45,66,3,9,26
2020/1/27,Ningxia,6,1,0,1,10,7
2020/1/27,Heilongjiang,105,142,45,8,21,21
2020/1/27,Shanxi,193,251,64,29,25,13
2020/1/27,Jiangsu,653,643,310,119,53,47
2020/1/28,Inner Mongolia,26,15,10,1,0,15
2020/1/28,Hainan,143,35,23,5,25,40
2020/1/28,Guangxi,1003,86,147,66,50,51
2020/1/28,Shaanxi,673,523,252,92,21,46
2020/1/28,Fujian,517,120,90,49,39,80
2020/1/28,Beijing,170,297,73,33,39,91
2020/1/28,Sichuan,1636,252,146,120,27,90
2020/1/28,Tianjin,121,233,90,20,58,24
2020/1/28,Hunan,1181,164,148,61,39,143
2020/1/28,Henan,430,265,268,95,80,168
2020/1/28,Jilin,164,162,72,11,12,8
2020/1/28,Jiangxi,512,77,95,58,30,109
2020/1/28,Shandong,875,740,313,127,148,95
2020/1/28,Zhejiang,709,246,187,116,110,173
2020/1/28,Liaoning,126,159,83,21,11,34
2020/1/28,Xinjiang,19,17,10,14,3,10
2020/1/28,Tibet,2,0,0,0,1,0
2020/1/28,Guangdong,2963,801,761,262,91,207
2020/1/28,Anhui,762,282,248,74,67,106
2020/1/28,Shanghai,212,121,72,45,37,66
2020/1/28,Guizhou,568,26,71,30,1,9
2020/1/28,Qinghai,25,13,13,2,0,6
2020/1/28,Hebei,287,327,144,79,44,33
2020/1/28,Gansu,97,25,10,5,10,19
2020/1/28,Yunnan,366,56,25,19,6,44
2020/1/28,Ningxia,11,11,4,4,21,11
2020/1/28,Heilongjiang,173,136,69,19,30,33
2020/1/28,Shanxi,290,150,70,30,28,27
2020/1/28,Jiangsu,1118,549,349,129,77,70
2020/1/29,Inner Mongolia,44,12,1,4,9,16
2020/1/29,Hainan,101,32,64,6,55,43
2020/1/29,Guangxi,917,58,137,73,205,58
2020/1/29,Shaanxi,1013,198,197,93,491,56
2020/1/29,Fujian,518,60,104,35,151,84
2020/1/29,Beijing,201,117,110,33,135,111
2020/1/29,Sichuan,1871,174,246,95,429,108
2020/1/29,Tianjin,192,76,56,11,243,27
2020/1/29,Hunan,1159,134,165,50,310,221
2020/1/29,Henan,487,203,252,86,366,206
2020/1/29,Jilin,133,71,54,23,119,9
2020/1/29,Jiangxi,497,47,83,22,133,109
2020/1/29,Shandong,865,501,390,98,778,130
2020/1/29,Zhejiang,831,128,174,112,517,296
2020/1/29,Liaoning,149,65,82,7,186,39
2020/1/29,Xinjiang,15,6,2,10,21,13
2020/1/29,Tibet,3,2,0,0,0,0
2020/1/29,Guangdong,3522,531,780,207,1053,277
2020/1/29,Anhui,884,162,227,48,498,152
2020/1/29,Shanghai,279,94,124,36,130,96
2020/1/29,Guizhou,386,18,50,15,47,9
2020/1/29,Qinghai,28,6,1,2,4,6
2020/1/29,Hebei,477,173,117,88,328,48
2020/1/29,Gansu,77,12,24,10,27,24
2020/1/29,Yunnan,403,41,35,19,81,55
2020/1/29,Ningxia,13,12,8,3,3,12
2020/1/29,Heilongjiang,172,113,74,18,174,38
2020/1/29,Shanxi,359,122,124,37,126,27
2020/1/29,Jiangsu,1008,218,284,96,601,99
2020/1/30,Inner Mongolia,25,4,5,8,37,19
2020/1/30,Hainan,90,34,60,8,251,46
2020/1/30,Guangxi,849,148,158,119,1338,78
2020/1/30,Shaanxi,913,295,305,161,1610,63
2020/1/30,Fujian,552,62,248,110,806,101
2020/1/30,Beijing,250,157,105,140,569,114
2020/1/30,Sichuan,1534,265,296,236,1549,142
2020/1/30,Tianjin,138,74,67,55,440,31
2020/1/30,Hunan,1161,151,218,173,1259,277
2020/1/30,Henan,539,196,282,169,1817,278
2020/1/30,Jilin,164,51,93,22,345,14
2020/1/30,Jiangxi,536,71,90,94,941,162
2020/1/30,Shandong,804,287,471,274,2989,158
2020/1/30,Zhejiang,786,166,270,279,2588,428
2020/1/30,Liaoning,169,58,95,21,301,41
2020/1/30,Xinjiang,21,6,4,32,29,14
2020/1/30,Tibet,2,0,2,1,0,1
2020/1/30,Guangdong,2966,646,1123,590,5314,354
2020/1/30,Anhui,915,181,251,140,1953,200
2020/1/30,Shanghai,236,79,93,57,720,112
2020/1/30,Guizhou,393,42,67,39,306,12
2020/1/30,Qinghai,18,6,7,7,30,8
2020/1/30,Hebei,629,185,234,203,1129,65
2020/1/30,Gansu,111,28,48,29,111,26
2020/1/30,Yunnan,304,40,89,44,334,70
2020/1/30,Ningxia,21,10,8,18,40,17
2020/1/30,Heilongjiang,178,88,107,29,493,44
2020/1/30,Shanxi,351,115,131,103,848,35
2020/1/30,Jiangsu,918,243,322,187,2352,129
2020/1/31,Inner Mongolia,176,7,21,5,2,20
2020/1/31,Hainan,421,13,104,24,109,52
2020/1/31,Guangxi,2534,71,366,162,531,87
2020/1/31,Shaanxi,2983,224,518,210,324,87
2020/1/31,Fujian,1437,44,315,127,210,120
2020/1/31,Beijing,1051,97,184,92,191,139
2020/1/31,Sichuan,5698,157,604,227,520,177
2020/1/31,Tianjin,722,49,240,71,265,32
2020/1/31,Hunan,3240,120,372,185,506,332
2020/1/31,Henan,1609,99,390,153,752,352
2020/1/31,Jilin,693,36,110,36,120,14
2020/1/31,Jiangxi,1655,49,194,83,244,240
2020/1/31,Shandong,3063,174,596,241,878,184
2020/1/31,Zhejiang,2850,80,444,225,757,538
2020/1/31,Liaoning,709,40,108,18,177,48
2020/1/31,Xinjiang,59,6,22,10,8,17
2020/1/31,Tibet,18,0,0,0,0,1
2020/1/31,Guangdong,7099,310,1671,502,1963,436
2020/1/31,Anhui,2377,102,509,124,643,237
2020/1/31,Shanghai,836,53,166,72,187,135
2020/1/31,Guizhou,1473,45,99,25,73,29
2020/1/31,Qinghai,86,3,14,5,17,8
2020/1/31,Hebei,1486,111,386,184,341,82
2020/1/31,Gansu,418,19,47,26,17,29
2020/1/31,Yunnan,1217,27,117,44,86,83
2020/1/31,Ningxia,75,2,11,4,4,21
2020/1/31,Heilongjiang,797,44,102,12,175,59
2020/1/31,Shanxi,1241,81,188,87,200,39
2020/1/31,Jiangsu,3057,175,592,200,936,168
2020/2/1,Inner Mongolia,19,11,13,6,6,23
2020/2/1,Hainan,87,34,100,21,97,62
2020/2/1,Guangxi,638,100,279,200,324,100
2020/2/1,Shaanxi,448,207,516,263,213,101
2020/2/1,Fujian,322,58,224,145,252,144
2020/2/1,Beijing,181,180,214,60,156,168
2020/2/1,Sichuan,924,218,473,306,216,207
2020/2/1,Tianjin,87,66,159,51,110,41
2020/2/1,Hunan,718,157,359,201,318,389
2020/2/1,Henan,251,159,265,199,260,422
2020/2/1,Jilin,75,51,76,36,119,17
2020/2/1,Jiangxi,309,63,186,117,191,286
2020/2/1,Shandong,422,227,564,269,684,206
2020/2/1,Zhejiang,472,175,369,277,562,599
2020/2/1,Liaoning,72,54,96,32,241,64
2020/2/1,Xinjiang,19,7,12,18,15,18
2020/2/1,Tibet,3,0,5,0,0,1
2020/2/1,Guangdong,2105,751,1734,660,1234,535
2020/2/1,Anhui,346,134,331,188,387,297
2020/2/1,Shanghai,207,99,187,76,162,169
2020/2/1,Guizhou,313,35,133,52,78,29
2020/2/1,Qinghai,9,7,20,9,20,9
2020/2/1,Hebei,167,151,313,216,262,96
2020/2/1,Gansu,56,22,45,31,17,40
2020/2/1,Yunnan,179,40,101,47,82,93
2020/2/1,Ningxia,8,1,13,4,7,26
2020/2/1,Heilongjiang,104,75,150,47,108,80
2020/2/1,Shanxi,192,104,228,128,217,47
2020/2/1,Jiangsu,541,278,516,263,512,202
2020/2/2,Inner Mongolia,199,7,12,5,9,27
2020/2/2,Hainan,469,50,122,14,42,64
2020/2/2,Guangxi,3708,154,297,145,229,111
2020/2/2,Shaanxi,3413,236,324,142,156,116
2020/2/2,Fujian,2008,117,180,119,159,159
2020/2/2,Beijing,1444,169,282,88,97,191
2020/2/2,Sichuan,6159,272,363,187,210,231
2020/2/2,Tianjin,875,80,106,33,49,48
2020/2/2,Hunan,4463,212,256,133,248,463
2020/2/2,Henan,1901,151,236,143,224,493
2020/2/2,Jilin,679,46,60,22,54,23
2020/2/2,Jiangxi,2284,77,134,86,116,333
2020/2/2,Shandong,3152,200,457,237,406,230
2020/2/2,Zhejiang,3428,202,309,217,376,661
2020/2/2,Liaoning,849,50,62,35,75,70
2020/2/2,Xinjiang,70,7,0,7,3,21
2020/2/2,Tibet,10,0,0,2,0,1
2020/2/2,Guangdong,10669,752,1571,404,811,632
2020/2/2,Anhui,3181,206,266,108,260,340
2020/2/2,Shanghai,1311,124,210,60,110,182
2020/2/2,Guizhou,2204,58,74,54,40,38
2020/2/2,Qinghai,118,11,5,7,3,11
2020/2/2,Hebei,1562,121,235,113,147,104
2020/2/2,Gansu,509,23,53,18,20,51
2020/2/2,Yunnan,1414,43,92,27,68,105
2020/2/2,Ningxia,93,5,31,1,7,28
2020/2/2,Heilongjiang,944,40,73,32,84,95
2020/2/2,Shanxi,1623,90,113,89,137,66
2020/2/2,Jiangsu,3863,291,534,306,332,236
2020/2/3,Inner Mongolia,195,26,4,15,3,34
2020/2/3,Hainan,888,131,115,24,38,72
2020/2/3,Guangxi,5855,354,281,237,203,127
2020/2/3,Shaanxi,3987,510,294,162,137,128
2020/2/3,Fujian,3574,250,226,194,123,179
2020/2/3,Beijing,1652,397,151,76,49,212
2020/2/3,Sichuan,7234,577,235,240,100,254
2020/2/3,Tianjin,870,149,129,31,41,60
2020/2/3,Hunan,5061,451,294,209,192,521
2020/2/3,Henan,2107,227,246,224,192,566
2020/2/3,Jilin,997,152,76,21,46,31
2020/2/3,Jiangxi,3249,218,156,95,72,391
2020/2/3,Shandong,3551,410,335,233,396,259
2020/2/3,Zhejiang,4913,594,297,306,301,724
2020/2/3,Liaoning,1129,130,108,50,55,74
2020/2/3,Xinjiang,82,17,4,8,4,24
2020/2/3,Tibet,13,1,0,0,0,1
2020/2/3,Guangdong,16966,2152,1868,688,595,725
2020/2/3,Anhui,3908,375,292,186,186,408
2020/2/3,Shanghai,1997,306,165,70,95,203
2020/2/3,Guizhou,2928,152,71,51,22,46
2020/2/3,Qinghai,108,18,11,0,0,13
2020/2/3,Hebei,1772,265,183,148,102,113
2020/2/3,Gansu,540,87,40,34,14,55
2020/2/3,Yunnan,1665,126,96,59,27,117
2020/2/3,Ningxia,125,19,2,4,0,31
2020/2/3,Heilongjiang,1179,144,101,24,71,121
2020/2/3,Shanxi,1942,238,147,126,93,74
2020/2/3,Jiangsu,5943,704,557,573,302,271
2020/2/4,Inner Mongolia,165,5,6,9,8,35
2020/2/4,Hainan,412,27,137,32,21,80
2020/2/4,Guangxi,2793,106,328,269,129,139
2020/2/4,Shaanxi,2703,109,293,221,97,142
2020/2/4,Fujian,1810,84,263,281,96,194
2020/2/4,Beijing,1142,92,163,76,56,228
2020/2/4,Sichuan,4164,113,321,352,106,282
2020/2/4,Tianjin,629,40,104,44,48,67
2020/2/4,Hunan,2614,126,293,218,86,593
2020/2/4,Henan,1327,59,193,212,122,675
2020/2/4,Jilin,559,40,68,33,45,42
2020/2/4,Jiangxi,1532,59,133,164,79,476
2020/2/4,Shandong,2420,96,472,333,302,275
2020/2/4,Zhejiang,2555,117,366,368,276,829
2020/2/4,Liaoning,705,36,125,41,68,81
2020/2/4,Xinjiang,58,4,5,2,2,29
2020/2/4,Tibet,6,0,0,0,0,1
2020/2/4,Guangdong,8187,489,1858,1009,460,813
2020/2/4,Anhui,2270,102,265,243,166,480
2020/2/4,Shanghai,957,82,246,155,59,219
2020/2/4,Guizhou,1404,33,88,75,51,58
2020/2/4,Qinghai,75,8,16,14,1,15
2020/2/4,Hebei,1244,64,180,183,96,126
2020/2/4,Gansu,473,18,55,32,9,57
2020/2/4,Yunnan,1161,31,98,102,20,122
2020/2/4,Ningxia,65,1,13,11,11,34
2020/2/4,Heilongjiang,722,32,74,32,36,155
2020/2/4,Shanxi,1101,87,165,129,47,81
2020/2/4,Jiangsu,3871,235,572,740,177,308
2020/2/5,Inner Mongolia,27,4,10,2,8,42
2020/2/5,Hainan,119,76,86,24,11,99
2020/2/5,Guangxi,665,206,316,212,118,150
2020/2/5,Shaanxi,422,327,324,195,111,165
2020/2/5,Fujian,555,180,249,246,101,205
2020/2/5,Beijing,282,176,173,92,50,253
2020/2/5,Sichuan,997,365,294,450,112,301
2020/2/5,Tianjin,142,77,110,42,19,69
2020/2/5,Hunan,658,286,294,199,106,661
2020/2/5,Henan,234,131,235,133,114,764
2020/2/5,Jilin,78,47,65,27,39,54
2020/2/5,Jiangxi,328,131,168,152,86,548
2020/2/5,Shandong,485,227,423,400,315,307
2020/2/5,Zhejiang,626,302,287,360,224,895
2020/2/5,Liaoning,101,92,134,22,56,89
2020/2/5,Xinjiang,11,7,1,10,0,32
2020/2/5,Tibet,1,1,0,1,0,1
2020/2/5,Guangdong,2448,1238,1752,1082,495,895
2020/2/5,Anhui,420,283,280,233,162,530
2020/2/5,Shanghai,303,277,245,162,70,243
2020/2/5,Guizhou,384,94,76,59,19,64
2020/2/5,Qinghai,11,8,10,33,2,17
2020/2/5,Hebei,250,142,202,158,104,135
2020/2/5,Gansu,69,33,45,34,7,62
2020/2/5,Yunnan,197,71,72,88,31,128
2020/2/5,Ningxia,11,11,6,1,2,34
2020/2/5,Heilongjiang,109,47,114,29,41,190
2020/2/5,Shanxi,227,118,142,159,77,81
2020/2/5,Jiangsu,800,510,575,836,253,341
2020/2/6,Inner Mongolia,173,17,12,1,3,46
2020/2/6,Hainan,473,105,98,17,11,106
2020/2/6,Guangxi,3018,252,377,139,82,168
2020/2/6,Shaanxi,2482,389,434,132,70,173
2020/2/6,Fujian,1854,256,362,117,57,215
2020/2/6,Beijing,1350,297,249,60,31,274
2020/2/6,Sichuan,4228,514,383,227,60,321
2020/2/6,Tianjin,636,109,173,24,22,79
2020/2/6,Hunan,3326,401,399,163,105,711
2020/2/6,Henan,1416,201,263,100,84,851
2020/2/6,Jilin,546,92,53,15,29,59
2020/2/6,Jiangxi,1633,233,197,106,60,600
2020/2/6,Shandong,2829,329,513,188,138,347
2020/2/6,Zhejiang,2440,470,380,235,136,954
2020/2/6,Liaoning,842,94,145,30,20,94
2020/2/6,Xinjiang,54,11,11,6,0,36
2020/2/6,Tibet,6,0,0,0,5,1
2020/2/6,Guangdong,8459,1518,2228,632,344,970
2020/2/6,Anhui,2404,390,350,145,134,591
2020/2/6,Shanghai,1145,299,367,102,77,257
2020/2/6,Guizhou,1240,157,130,34,15,71
2020/2/6,Qinghai,74,18,9,8,0,18
2020/2/6,Hebei,1334,212,169,107,86,157
2020/2/6,Gansu,368,72,86,22,17,62
2020/2/6,Yunnan,945,76,72,65,21,133
2020/2/6,Ningxia,93,6,13,0,3,40
2020/2/6,Heilongjiang,645,32,85,16,22,227
2020/2/6,Shanxi,1221,117,209,79,67,96
2020/2/6,Jiangsu,3880,551,626,555,161,373
2020/2/7,Inner Mongolia,149,30,33,1,7,50
2020/2/7,Hainan,604,150,166,5,10,117
2020/2/7,Guangxi,4072,482,433,51,80,172
2020/2/7,Shaanxi,2300,577,427,87,95,184
2020/2/7,Fujian,2132,325,370,26,81,224
2020/2/7,Beijing,1368,511,417,24,37,297
2020/2/7,Sichuan,4984,755,526,104,90,344
2020/2/7,Tianjin,670,200,156,14,15,81
2020/2/7,Hunan,3960,688,515,51,124,772
2020/2/7,Henan,1752,247,286,31,85,914
2020/2/7,Jilin,492,88,74,5,32,65
2020/2/7,Jiangxi,2123,300,216,41,42,661
2020/2/7,Shandong,3586,619,687,69,181,386
2020/2/7,Zhejiang,2754,714,537,89,154,1006
2020/2/7,Liaoning,851,144,129,10,13,99
2020/2/7,Xinjiang,51,7,8,1,0,39
2020/2/7,Tibet,6,0,0,0,0,1
2020/2/7,Guangdong,11741,2667,2855,267,394,1034
2020/2/7,Anhui,3189,545,467,92,119,665
2020/2/7,Shanghai,1311,415,455,47,70,277
2020/2/7,Guizhou,1412,264,198,19,30,81
2020/2/7,Qinghai,94,24,39,1,5,18
2020/2/7,Hebei,1572,383,272,41,69,172
2020/2/7,Gansu,389,77,70,15,6,67
2020/2/7,Yunnan,995,123,135,33,26,138
2020/2/7,Ningxia,77,9,11,2,0,43
2020/2/7,Heilongjiang,630,106,119,9,26,277
2020/2/7,Shanxi,1355,206,220,27,74,104
2020/2/7,Jiangsu,4350,917,808,173,126,408
2020/2/8,Inner Mongolia,198,32,11,1,4,52
2020/2/8,Hainan,542,196,82,12,23,124
2020/2/8,Guangxi,3296,479,237,91,96,183
2020/2/8,Shaanxi,2718,626,242,54,60,195
2020/2/8,Fujian,1951,360,219,66,71,239
2020/2/8,Beijing,2112,584,219,27,36,315
2020/2/8,Sichuan,5364,904,325,211,47,364
2020/2/8,Tianjin,1017,213,108,31,25,88
2020/2/8,Hunan,3828,991,424,99,91,803
2020/2/8,Henan,1850,391,273,93,80,981
2020/2/8,Jilin,731,101,56,5,21,69
2020/2/8,Jiangxi,1781,354,90,70,55,698
2020/2/8,Shandong,3833,721,506,173,132,416
2020/2/8,Zhejiang,2927,808,368,161,128,1048
2020/2/8,Liaoning,1109,171,132,21,30,105
2020/2/8,Xinjiang,90,15,7,1,1,42
2020/2/8,Tibet,11,4,1,0,0,1
2020/2/8,Guangdong,10128,3181,1695,532,312,1095
2020/2/8,Anhui,2878,751,296,140,113,733
2020/2/8,Shanghai,1490,755,382,66,35,286
2020/2/8,Guizhou,1440,288,98,17,36,89
2020/2/8,Qinghai,99,16,16,3,1,18
2020/2/8,Hebei,1824,468,168,70,30,195
2020/2/8,Gansu,463,54,38,18,6,79
2020/2/8,Yunnan,1175,238,82,17,18,138
2020/2/8,Ningxia,123,21,8,2,2,45
2020/2/8,Heilongjiang,809,150,78,10,11,295
2020/2/8,Shanxi,1621,274,110,38,39,115
2020/2/8,Jiangsu,4223,1103,552,327,187,439
2020/2/9,Inner Mongolia,168,81,5,5,5,54
2020/2/9,Hainan,637,271,116,13,14,131
2020/2/9,Guangxi,3900,668,258,154,73,195
2020/2/9,Shaanxi,2352,709,277,67,85,208
2020/2/9,Fujian,1940,451,275,67,56,250
2020/2/9,Beijing,2017,771,272,43,23,326
2020/2/9,Sichuan,4916,1087,351,178,76,386
2020/2/9,Tianjin,768,284,140,23,29,91
2020/2/9,Hunan,3712,956,333,125,78,838
2020/2/9,Henan,2171,483,206,66,92,1033
2020/2/9,Jilin,627,147,81,10,15,78
2020/2/9,Jiangxi,1809,385,141,62,59,740
2020/2/9,Shandong,4186,987,465,244,164,444
2020/2/9,Zhejiang,2925,917,261,157,78,1075
2020/2/9,Liaoning,1255,302,92,33,33,107
2020/2/9,Xinjiang,71,6,8,1,4,45
2020/2/9,Tibet,14,6,3,0,0,1
